"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"32",9.77247745530146e-58,-0.923502873709499,0.13,0.342,1.33325909922678e-53,"1","Rpl39"
"33",1.6824938387743e-51,-1.17985097474365,0.017,0.168,2.29542634423977e-47,"1","Ccnd2"
"34",6.72960011512773e-39,-1.46374134500195,0.007,0.12,9.18119343706877e-35,"1","Ms4a4b"
"35",8.0980481906095e-37,-1.08314746228997,0.052,0.184,1.10481671464485e-32,"1","H2-D1"
"36",9.08498001672144e-37,-0.986098926937066,0.019,0.134,1.23946382368131e-32,"1","Plac8"
"37",4.99741748423171e-35,-0.95341013383333,0.062,0.195,6.81797667373732e-31,"1","Gzma"
"38",2.54841484401438e-34,-1.01307738538778,0.016,0.123,3.47680237168882e-30,"1","Il2ra"
"39",1.8107275414149e-32,-0.942006480279068,0.029,0.139,2.47037558475234e-28,"1","Shisa5"
"40",2.69196988482919e-19,-1.07309188029117,0.035,0.111,3.67265451387246e-15,"1","Itm2a"
"41",0,2.85552845374899,0.758,0.054,0,"2","Cd52"
"42",0,2.67549265855176,0.494,0.019,0,"2","Ms4a4b"
"43",0,2.54038334566008,0.731,0.13,0,"2","Tmsb10"
"44",0,1.92298273455708,0.456,0.05,0,"2","Shisa5"
"45",0,1.85510644480548,0.292,0.004,0,"2","Gimap4"
"46",0,1.83180568253905,0.508,0.088,0,"2","H2-D1"
"47",0,1.69641775809667,0.906,0.462,0,"2","Tmsb4x"
"48",2.05925312147919e-297,1.68181520843498,0.508,0.095,2.80943903363406e-293,"2","Cd2"
"49",1.98643805737131e-269,2.30292727556099,0.361,0.044,2.71009744167168e-265,"2","Itm2a"
"50",1.30778214413925e-267,1.6247210316025,0.365,0.043,1.78420717924918e-263,"2","Vim"
"51",1.06366335899542e-249,1.58732924781251,0.357,0.046,1.45115592067746e-245,"2","Cnn2"
"52",6.95667025285167e-222,1.38335264085949,0.187,0.004,9.49098522596553e-218,"2","Klf2"
"53",6.90513419059148e-221,1.44344363909413,0.387,0.066,9.42067457622395e-217,"2","Sp100"
"54",1.2189590767197e-213,1.37376636676212,0.24,0.017,1.66302586836869e-209,"2","Tes"
"55",3.68745804607272e-189,1.42937856783712,0.284,0.038,5.03079901225702e-185,"2","H2-K1"
"56",3.82394459727371e-188,1.50996458531747,0.159,0.004,5.21700761406052e-184,"2","Ifi27l2a"
"57",1.20925501560702e-174,1.3226305290826,0.265,0.035,1.64978661779265e-170,"2","Trac"
"58",5.73771430928857e-171,1.38423711913954,0.381,0.089,7.82796363216239e-167,"2","Ccnd2"
"59",1.26052833823685e-154,-1.67118451773816,0.075,0.505,1.71973881185654e-150,"2","Arpp21"
"60",2.77083160428745e-67,-1.34643542905671,0.048,0.284,3.78024555772937e-63,"2","Rag1"
"61",2.13039811785088e-277,1.04844418153603,0.952,0.478,2.90650215218395e-273,"3","Rps29"
